ShimID,Customer Feedback,Breakage (Yes/No)
4544,Shim worn out quickly,Yes
4545,"Positive, no issues",No
4546,Shim broke after 2 months,Yes
4547,Shim worn out quickly,Yes
4548,"Positive, no issues",No
4549,"Positive, no issues",No
4550,Shim broke after 2 months,Yes
4551,"Positive, no issues",No
4552,"Positive, no issues",No
4553,Crack appeared,Yes
4554,"Positive, no issues",No
4555,"Positive, no issues",No
4556,Crack appeared,Yes
4557,Shim broke after 2 months,Yes
4558,Shim worn out quickly,Yes
4559,"Positive, no issues",No
4560,Crack appeared,Yes
4561,"Positive, no issues",No
4562,Crack appeared,Yes
4563,Crack appeared,Yes
4564,"Positive, no issues",No
4565,"Positive, no issues",No
4566,Shim broke after 2 months,Yes
4567,Crack appeared,Yes
4568,Shim worn out quickly,Yes
4569,"Positive, no issues",No
4570,"Positive, no issues",No
4571,Shim worn out quickly,Yes
4572,"Positive, no issues",No
4573,"Positive, no issues",No
4574,Shim worn out quickly,Yes
4575,"Positive, no issues",No
4576,Shim broke after 2 months,Yes
4577,"Positive, no issues",No
4578,Crack appeared,Yes
4579,"Positive, no issues",No
4580,"Positive, no issues",No
4581,"Positive, no issues",No
4582,Shim broke after 2 months,Yes
4583,"Positive, no issues",No
4584,"Positive, no issues",No
4585,Crack appeared,Yes
4586,"Positive, no issues",No
4587,Shim broke after 2 months,Yes
4588,"Positive, no issues",No
4589,"Positive, no issues",No
4590,Shim worn out quickly,Yes
4591,"Positive, no issues",No
4592,Crack appeared,Yes
4593,"Positive, no issues",No
4594,Shim broke after 2 months,Yes
4595,"Positive, no issues",No
4596,"Positive, no issues",No
4597,Crack appeared,Yes
4598,"Positive, no issues",No
4599,"Positive, no issues",No
4600,Shim worn out quickly,Yes
4601,Shim broke after 2 months,Yes
4602,Shim worn out quickly,Yes
4603,Shim broke after 2 months,Yes
4604,"Positive, no issues",No
4605,Shim broke after 2 months,Yes
4606,Shim worn out quickly,Yes
4607,Shim broke after 2 months,Yes
4608,"Positive, no issues",No
4609,"Positive, no issues",No
4610,"Positive, no issues",No
4611,Shim broke after 2 months,Yes
4612,"Positive, no issues",No
4613,"Positive, no issues",No
4614,"Positive, no issues",No
4615,"Positive, no issues",No
4616,"Positive, no issues",No
4617,Crack appeared,Yes
4618,"Positive, no issues",No
4619,Shim broke after 2 months,Yes
4620,Crack appeared,Yes
4621,"Positive, no issues",No
4622,Shim worn out quickly,Yes
4623,Crack appeared,Yes
4624,"Positive, no issues",No
4625,"Positive, no issues",No
4626,"Positive, no issues",No
4627,"Positive, no issues",No
4628,Shim broke after 2 months,Yes
4629,"Positive, no issues",No
4630,"Positive, no issues",No
4631,"Positive, no issues",No
4632,"Positive, no issues",No
4633,Shim worn out quickly,Yes
4634,Crack appeared,Yes
4635,Shim worn out quickly,Yes
4636,"Positive, no issues",No
4637,Crack appeared,Yes
4638,Shim broke after 2 months,Yes
4639,"Positive, no issues",No
4640,"Positive, no issues",No
4641,Crack appeared,Yes
4642,Shim broke after 2 months,Yes
4643,"Positive, no issues",No
4644,"Positive, no issues",No
4645,Shim broke after 2 months,Yes
4646,Shim broke after 2 months,Yes
4647,Shim broke after 2 months,Yes
4648,"Positive, no issues",No
4649,"Positive, no issues",No
4650,"Positive, no issues",No
4651,Crack appeared,Yes
4652,"Positive, no issues",No
4653,"Positive, no issues",No
4654,Shim broke after 2 months,Yes
4655,"Positive, no issues",No
4656,"Positive, no issues",No
4657,Crack appeared,Yes
4658,Shim worn out quickly,Yes
4659,Shim worn out quickly,Yes
4660,Crack appeared,Yes
4661,"Positive, no issues",No
4662,"Positive, no issues",No
4663,Shim broke after 2 months,Yes
4664,Shim broke after 2 months,Yes
4665,"Positive, no issues",No
4666,Shim worn out quickly,Yes
4667,"Positive, no issues",No
4668,Shim worn out quickly,Yes
4669,"Positive, no issues",No
4670,Shim worn out quickly,Yes
4671,"Positive, no issues",No
4672,Shim broke after 2 months,Yes
4673,Shim worn out quickly,Yes
4674,Shim worn out quickly,Yes
4675,Shim broke after 2 months,Yes
4676,"Positive, no issues",No
4677,"Positive, no issues",No
4678,Shim worn out quickly,Yes
4679,"Positive, no issues",No
4680,"Positive, no issues",No
4681,Shim worn out quickly,Yes
4682,"Positive, no issues",No
4683,Shim broke after 2 months,Yes
4684,"Positive, no issues",No
4685,"Positive, no issues",No
4686,"Positive, no issues",No
4687,"Positive, no issues",No
4688,Shim broke after 2 months,Yes
4689,"Positive, no issues",No
4690,"Positive, no issues",No
4691,"Positive, no issues",No
4692,"Positive, no issues",No
4693,Shim worn out quickly,Yes
4694,Crack appeared,Yes
4695,Shim worn out quickly,Yes
4696,"Positive, no issues",No
4697,"Positive, no issues",No
4698,Shim broke after 2 months,Yes
4699,Shim worn out quickly,Yes
4700,Shim worn out quickly,Yes
4701,"Positive, no issues",No
4702,Shim worn out quickly,Yes
4703,Shim broke after 2 months,Yes
4704,Shim worn out quickly,Yes
4705,"Positive, no issues",No
4706,Shim broke after 2 months,Yes
4707,Shim worn out quickly,Yes
4708,Shim broke after 2 months,Yes
4709,"Positive, no issues",No
4710,"Positive, no issues",No
4711,"Positive, no issues",No
4712,"Positive, no issues",No
4713,Shim broke after 2 months,Yes
4714,Shim worn out quickly,Yes
4715,"Positive, no issues",No
4716,"Positive, no issues",No
4717,Shim worn out quickly,Yes
4718,Crack appeared,Yes
4719,"Positive, no issues",No
4720,"Positive, no issues",No
4721,Shim broke after 2 months,Yes
4722,"Positive, no issues",No
4723,Crack appeared,Yes
4724,"Positive, no issues",No
4725,"Positive, no issues",No
4726,Crack appeared,Yes
4727,"Positive, no issues",No
4728,"Positive, no issues",No
4729,"Positive, no issues",No
4730,Shim broke after 2 months,Yes
4731,Shim worn out quickly,Yes
4732,"Positive, no issues",No
4733,"Positive, no issues",No
4734,"Positive, no issues",No
4735,"Positive, no issues",No
4736,"Positive, no issues",No
4737,"Positive, no issues",No
4738,"Positive, no issues",No
4739,"Positive, no issues",No
4740,"Positive, no issues",No
4741,"Positive, no issues",No
4742,"Positive, no issues",No
4743,"Positive, no issues",No
4744,"Positive, no issues",No
4745,"Positive, no issues",No
4746,Crack appeared,Yes
4747,Crack appeared,Yes
4748,Crack appeared,Yes
4749,Shim worn out quickly,Yes
4750,"Positive, no issues",No
4751,"Positive, no issues",No
4752,Shim worn out quickly,Yes
4753,"Positive, no issues",No
4754,Shim worn out quickly,Yes
4755,"Positive, no issues",No
4756,"Positive, no issues",No
4757,Crack appeared,Yes
4758,"Positive, no issues",No
4759,"Positive, no issues",No
4760,Crack appeared,Yes
4761,Shim worn out quickly,Yes
4762,"Positive, no issues",No
4763,Shim worn out quickly,Yes
4764,"Positive, no issues",No
4765,Shim broke after 2 months,Yes
4766,"Positive, no issues",No
4767,Crack appeared,Yes
4768,"Positive, no issues",No
4769,"Positive, no issues",No
4770,Crack appeared,Yes
4771,"Positive, no issues",No
4772,"Positive, no issues",No
4773,"Positive, no issues",No
4774,Shim worn out quickly,Yes
4775,Crack appeared,Yes
4776,Shim worn out quickly,Yes
4777,Shim worn out quickly,Yes
4778,"Positive, no issues",No
4779,"Positive, no issues",No
4780,Shim broke after 2 months,Yes
4781,Crack appeared,Yes
4782,"Positive, no issues",No
4783,"Positive, no issues",No
4784,Shim broke after 2 months,Yes
4785,Crack appeared,Yes
4786,Shim broke after 2 months,Yes
4787,Crack appeared,Yes
4788,"Positive, no issues",No
4789,Crack appeared,Yes
4790,"Positive, no issues",No
4791,Shim broke after 2 months,Yes
4792,Crack appeared,Yes
4793,Shim broke after 2 months,Yes
4794,"Positive, no issues",No
4795,"Positive, no issues",No
4796,"Positive, no issues",No
4797,"Positive, no issues",No
4798,Shim worn out quickly,Yes
4799,"Positive, no issues",No
4800,Shim broke after 2 months,Yes
4801,"Positive, no issues",No
4802,Shim broke after 2 months,Yes
4803,"Positive, no issues",No
4804,Crack appeared,Yes
4805,"Positive, no issues",No
4806,"Positive, no issues",No
4807,"Positive, no issues",No
4808,Crack appeared,Yes
4809,"Positive, no issues",No
4810,"Positive, no issues",No
4811,Shim worn out quickly,Yes
4812,"Positive, no issues",No
4813,Shim broke after 2 months,Yes
4814,Shim broke after 2 months,Yes
4815,"Positive, no issues",No
4816,"Positive, no issues",No
4817,Crack appeared,Yes
4818,Shim worn out quickly,Yes
4819,Shim worn out quickly,Yes
4820,Crack appeared,Yes
4821,"Positive, no issues",No
4822,Shim broke after 2 months,Yes
4823,Shim broke after 2 months,Yes
4824,"Positive, no issues",No
4825,"Positive, no issues",No
4826,"Positive, no issues",No
4827,Shim broke after 2 months,Yes
4828,"Positive, no issues",No
4829,"Positive, no issues",No
4830,"Positive, no issues",No
4831,Shim broke after 2 months,Yes
4832,"Positive, no issues",No
4833,"Positive, no issues",No
4834,Shim broke after 2 months,Yes
4835,"Positive, no issues",No
4836,"Positive, no issues",No
4837,"Positive, no issues",No
4838,"Positive, no issues",No
4839,Shim broke after 2 months,Yes
4840,Shim worn out quickly,Yes
4841,Shim worn out quickly,Yes
4842,"Positive, no issues",No
4843,Shim broke after 2 months,Yes
4844,Crack appeared,Yes
4845,Shim worn out quickly,Yes
4846,Shim broke after 2 months,Yes
4847,"Positive, no issues",No
4848,Shim broke after 2 months,Yes
4849,Shim broke after 2 months,Yes
4850,Shim broke after 2 months,Yes
4851,Shim worn out quickly,Yes
4852,"Positive, no issues",No
4853,Crack appeared,Yes
4854,Shim worn out quickly,Yes
4855,Crack appeared,Yes
4856,Shim broke after 2 months,Yes
4857,Shim broke after 2 months,Yes
4858,Shim broke after 2 months,Yes
4859,"Positive, no issues",No
4860,Shim worn out quickly,Yes
4861,Shim broke after 2 months,Yes
4862,Shim broke after 2 months,Yes
4863,"Positive, no issues",No
4864,"Positive, no issues",No
4865,Crack appeared,Yes
4866,Shim worn out quickly,Yes
4867,"Positive, no issues",No
4868,"Positive, no issues",No
4869,"Positive, no issues",No
4870,Shim broke after 2 months,Yes
4871,Crack appeared,Yes
4872,Crack appeared,Yes
4873,Shim broke after 2 months,Yes
4874,"Positive, no issues",No
4875,Crack appeared,Yes
4876,"Positive, no issues",No
4877,Crack appeared,Yes
4878,"Positive, no issues",No
4879,Shim broke after 2 months,Yes
4880,"Positive, no issues",No
4881,"Positive, no issues",No
4882,"Positive, no issues",No
4883,Shim worn out quickly,Yes
4884,Shim broke after 2 months,Yes
4885,Crack appeared,Yes
4886,Shim broke after 2 months,Yes
4887,Crack appeared,Yes
4888,"Positive, no issues",No
4889,"Positive, no issues",No
4890,Shim worn out quickly,Yes
4891,"Positive, no issues",No
4892,Shim broke after 2 months,Yes
4893,"Positive, no issues",No
4894,Crack appeared,Yes
4895,"Positive, no issues",No
4896,Shim broke after 2 months,Yes
4897,"Positive, no issues",No
4898,Shim worn out quickly,Yes
4899,Crack appeared,Yes
4900,Shim worn out quickly,Yes
4901,"Positive, no issues",No
4902,"Positive, no issues",No
4903,Shim broke after 2 months,Yes
4904,Shim broke after 2 months,Yes
4905,"Positive, no issues",No
4906,Shim worn out quickly,Yes
4907,Shim broke after 2 months,Yes
4908,"Positive, no issues",No
4909,"Positive, no issues",No
4910,Shim worn out quickly,Yes
4911,Shim broke after 2 months,Yes
4912,"Positive, no issues",No
4913,"Positive, no issues",No
4914,"Positive, no issues",No
4915,Crack appeared,Yes
4916,"Positive, no issues",No
4917,Shim worn out quickly,Yes
4918,Shim broke after 2 months,Yes
4919,"Positive, no issues",No
4920,"Positive, no issues",No
4921,"Positive, no issues",No
4922,"Positive, no issues",No
4923,Shim worn out quickly,Yes
4924,"Positive, no issues",No
4925,"Positive, no issues",No
4926,"Positive, no issues",No
4927,Crack appeared,Yes
4928,Crack appeared,Yes
4929,"Positive, no issues",No
4930,"Positive, no issues",No
4931,Shim broke after 2 months,Yes
4932,Shim worn out quickly,Yes
4933,Shim worn out quickly,Yes
4934,Shim worn out quickly,Yes
4935,Shim broke after 2 months,Yes
4936,"Positive, no issues",No
4937,Crack appeared,Yes
4938,Crack appeared,Yes
4939,"Positive, no issues",No
4940,Shim broke after 2 months,Yes
4941,"Positive, no issues",No
4942,"Positive, no issues",No
4943,"Positive, no issues",No
4944,"Positive, no issues",No
4945,"Positive, no issues",No
4946,"Positive, no issues",No
4947,Shim worn out quickly,Yes
4948,"Positive, no issues",No
4949,Crack appeared,Yes
4950,Crack appeared,Yes
4951,Crack appeared,Yes
4952,"Positive, no issues",No
4953,"Positive, no issues",No
4954,Crack appeared,Yes
4955,"Positive, no issues",No
4956,Shim broke after 2 months,Yes
4957,Crack appeared,Yes
4958,"Positive, no issues",No
4959,Shim worn out quickly,Yes
4960,"Positive, no issues",No
4961,Crack appeared,Yes
4962,"Positive, no issues",No
4963,Shim worn out quickly,Yes
4964,"Positive, no issues",No
4965,Shim broke after 2 months,Yes
4966,"Positive, no issues",No
4967,"Positive, no issues",No
4968,"Positive, no issues",No
4969,"Positive, no issues",No
4970,Shim broke after 2 months,Yes
4971,"Positive, no issues",No
4972,"Positive, no issues",No
4973,Crack appeared,Yes
4974,Crack appeared,Yes
4975,Shim broke after 2 months,Yes
4976,Crack appeared,Yes
4977,"Positive, no issues",No
4978,"Positive, no issues",No
4979,Crack appeared,Yes
4980,"Positive, no issues",No
4981,"Positive, no issues",No
4982,Shim broke after 2 months,Yes
4983,"Positive, no issues",No
4984,"Positive, no issues",No
4985,"Positive, no issues",No
4986,"Positive, no issues",No
4987,Crack appeared,Yes
4988,Shim worn out quickly,Yes
4989,"Positive, no issues",No
4990,Shim worn out quickly,Yes
4991,"Positive, no issues",No
4992,Shim broke after 2 months,Yes
4993,"Positive, no issues",No
4994,"Positive, no issues",No
4995,Shim broke after 2 months,Yes
4996,"Positive, no issues",No
4997,Shim worn out quickly,Yes
4998,"Positive, no issues",No
4999,"Positive, no issues",No
5000,"Positive, no issues",No
5001,"Positive, no issues",No
5002,Crack appeared,Yes
5003,Shim worn out quickly,Yes
5004,"Positive, no issues",No
5005,"Positive, no issues",No
5006,Crack appeared,Yes
5007,Shim broke after 2 months,Yes
5008,"Positive, no issues",No
5009,Shim worn out quickly,Yes
5010,Crack appeared,Yes
5011,Shim broke after 2 months,Yes
5012,Crack appeared,Yes
5013,"Positive, no issues",No
5014,"Positive, no issues",No
5015,Shim worn out quickly,Yes
5016,"Positive, no issues",No
5017,"Positive, no issues",No
5018,Shim worn out quickly,Yes
5019,"Positive, no issues",No
5020,Crack appeared,Yes
5021,Crack appeared,Yes
5022,"Positive, no issues",No
5023,Shim worn out quickly,Yes
5024,"Positive, no issues",No
5025,"Positive, no issues",No
5026,Shim worn out quickly,Yes
5027,"Positive, no issues",No
5028,"Positive, no issues",No
5029,"Positive, no issues",No
5030,"Positive, no issues",No
5031,"Positive, no issues",No
5032,"Positive, no issues",No
5033,Crack appeared,Yes
5034,"Positive, no issues",No
5035,"Positive, no issues",No
5036,"Positive, no issues",No
5037,"Positive, no issues",No
5038,Crack appeared,Yes
5039,"Positive, no issues",No
5040,"Positive, no issues",No
5041,Shim broke after 2 months,Yes
5042,Shim worn out quickly,Yes
5043,Shim worn out quickly,Yes
5044,"Positive, no issues",No
5045,Shim worn out quickly,Yes
5046,Crack appeared,Yes
5047,Shim worn out quickly,Yes
5048,Crack appeared,Yes
5049,Crack appeared,Yes
5050,Crack appeared,Yes
5051,Shim broke after 2 months,Yes
5052,Shim worn out quickly,Yes
5053,Shim broke after 2 months,Yes
5054,Shim worn out quickly,Yes
5055,"Positive, no issues",No
5056,Shim worn out quickly,Yes
5057,"Positive, no issues",No
5058,"Positive, no issues",No
5059,"Positive, no issues",No
5060,Crack appeared,Yes
5061,Shim broke after 2 months,Yes
5062,Shim broke after 2 months,Yes
5063,"Positive, no issues",No
5064,Shim broke after 2 months,Yes
5065,Shim worn out quickly,Yes
5066,Shim worn out quickly,Yes
5067,Shim broke after 2 months,Yes
5068,Shim broke after 2 months,Yes
5069,Shim broke after 2 months,Yes
5070,Crack appeared,Yes
5071,"Positive, no issues",No
5072,"Positive, no issues",No
5073,Crack appeared,Yes
5074,Crack appeared,Yes
5075,Shim broke after 2 months,Yes
5076,Crack appeared,Yes
5077,"Positive, no issues",No
5078,"Positive, no issues",No
5079,Shim worn out quickly,Yes
5080,"Positive, no issues",No
5081,"Positive, no issues",No
5082,Shim worn out quickly,Yes
5083,Crack appeared,Yes
5084,"Positive, no issues",No
5085,"Positive, no issues",No
5086,Shim worn out quickly,Yes
5087,Shim worn out quickly,Yes
5088,Crack appeared,Yes
5089,"Positive, no issues",No
5090,"Positive, no issues",No
5091,Shim broke after 2 months,Yes
5092,"Positive, no issues",No
5093,"Positive, no issues",No
5094,"Positive, no issues",No
5095,Shim broke after 2 months,Yes
5096,Crack appeared,Yes
5097,"Positive, no issues",No
5098,"Positive, no issues",No
5099,Shim worn out quickly,Yes
5100,"Positive, no issues",No
5101,Shim broke after 2 months,Yes
5102,Shim worn out quickly,Yes
5103,Shim worn out quickly,Yes
5104,"Positive, no issues",No
5105,Crack appeared,Yes
5106,"Positive, no issues",No
5107,Crack appeared,Yes
5108,Crack appeared,Yes
5109,"Positive, no issues",No
5110,Shim broke after 2 months,Yes
5111,"Positive, no issues",No
5112,Shim broke after 2 months,Yes
5113,Shim worn out quickly,Yes
5114,Shim worn out quickly,Yes
5115,Shim worn out quickly,Yes
5116,Crack appeared,Yes
5117,"Positive, no issues",No
5118,"Positive, no issues",No
5119,"Positive, no issues",No
5120,Shim worn out quickly,Yes
5121,Shim worn out quickly,Yes
5122,"Positive, no issues",No
5123,"Positive, no issues",No
5124,"Positive, no issues",No
5125,Shim broke after 2 months,Yes
5126,"Positive, no issues",No
5127,Shim broke after 2 months,Yes
5128,"Positive, no issues",No
5129,Shim broke after 2 months,Yes
5130,Shim broke after 2 months,Yes
5131,Shim broke after 2 months,Yes
5132,"Positive, no issues",No
5133,"Positive, no issues",No
5134,"Positive, no issues",No
5135,"Positive, no issues",No
5136,Crack appeared,Yes
5137,Shim broke after 2 months,Yes
5138,Crack appeared,Yes
5139,"Positive, no issues",No
5140,"Positive, no issues",No
5141,Shim worn out quickly,Yes
5142,Crack appeared,Yes
5143,Shim broke after 2 months,Yes
5144,Crack appeared,Yes
5145,"Positive, no issues",No
5146,"Positive, no issues",No
5147,"Positive, no issues",No
5148,Shim worn out quickly,Yes
5149,"Positive, no issues",No
5150,Shim broke after 2 months,Yes
5151,Crack appeared,Yes
5152,"Positive, no issues",No
5153,Crack appeared,Yes
5154,"Positive, no issues",No
5155,Shim worn out quickly,Yes
5156,Crack appeared,Yes
5157,"Positive, no issues",No
5158,Shim broke after 2 months,Yes
5159,"Positive, no issues",No
5160,Crack appeared,Yes
5161,Shim worn out quickly,Yes
5162,Shim worn out quickly,Yes
5163,Crack appeared,Yes
5164,"Positive, no issues",No
5165,"Positive, no issues",No
5166,Shim broke after 2 months,Yes
5167,Crack appeared,Yes
5168,"Positive, no issues",No
5169,Shim worn out quickly,Yes
5170,"Positive, no issues",No
5171,"Positive, no issues",No
5172,Shim worn out quickly,Yes
5173,"Positive, no issues",No
5174,Crack appeared,Yes
5175,"Positive, no issues",No
5176,Crack appeared,Yes
5177,"Positive, no issues",No
5178,"Positive, no issues",No
5179,"Positive, no issues",No
5180,"Positive, no issues",No
5181,"Positive, no issues",No
5182,Crack appeared,Yes
5183,"Positive, no issues",No
5184,"Positive, no issues",No
5185,Shim worn out quickly,Yes
5186,Shim worn out quickly,Yes
5187,"Positive, no issues",No
5188,"Positive, no issues",No
5189,Crack appeared,Yes
5190,Shim worn out quickly,Yes
5191,Shim worn out quickly,Yes
5192,Shim worn out quickly,Yes
5193,Shim worn out quickly,Yes
5194,Crack appeared,Yes
5195,Crack appeared,Yes
5196,"Positive, no issues",No
5197,"Positive, no issues",No
5198,Shim worn out quickly,Yes
5199,Shim broke after 2 months,Yes
5200,Shim worn out quickly,Yes
5201,Crack appeared,Yes
5202,"Positive, no issues",No
5203,"Positive, no issues",No
5204,Shim broke after 2 months,Yes
5205,"Positive, no issues",No
5206,Shim broke after 2 months,Yes
5207,Shim broke after 2 months,Yes
5208,Crack appeared,Yes
5209,"Positive, no issues",No
5210,Shim broke after 2 months,Yes
5211,"Positive, no issues",No
5212,Shim broke after 2 months,Yes
5213,Shim worn out quickly,Yes
5214,"Positive, no issues",No
5215,"Positive, no issues",No
5216,Crack appeared,Yes
5217,Crack appeared,Yes
5218,"Positive, no issues",No
5219,"Positive, no issues",No
5220,"Positive, no issues",No
5221,Shim worn out quickly,Yes
5222,Crack appeared,Yes
5223,Crack appeared,Yes
5224,Shim worn out quickly,Yes
5225,"Positive, no issues",No
5226,Crack appeared,Yes
5227,"Positive, no issues",No
5228,Shim broke after 2 months,Yes
5229,"Positive, no issues",No
5230,"Positive, no issues",No
5231,Shim worn out quickly,Yes
5232,"Positive, no issues",No
5233,"Positive, no issues",No
5234,"Positive, no issues",No
5235,Shim broke after 2 months,Yes
5236,Shim broke after 2 months,Yes
5237,Shim broke after 2 months,Yes
5238,"Positive, no issues",No
5239,Shim broke after 2 months,Yes
5240,Crack appeared,Yes
5241,"Positive, no issues",No
5242,"Positive, no issues",No
5243,Shim broke after 2 months,Yes
5244,Crack appeared,Yes
5245,Shim broke after 2 months,Yes
5246,Shim broke after 2 months,Yes
5247,"Positive, no issues",No
5248,"Positive, no issues",No
5249,Crack appeared,Yes
5250,"Positive, no issues",No
5251,"Positive, no issues",No
5252,Crack appeared,Yes
5253,"Positive, no issues",No
5254,"Positive, no issues",No
5255,"Positive, no issues",No
5256,"Positive, no issues",No
5257,Shim worn out quickly,Yes
5258,Shim broke after 2 months,Yes
5259,Shim broke after 2 months,Yes
5260,Shim broke after 2 months,Yes
5261,"Positive, no issues",No
5262,Crack appeared,Yes
5263,Shim worn out quickly,Yes
5264,Crack appeared,Yes
5265,"Positive, no issues",No
5266,Crack appeared,Yes
5267,"Positive, no issues",No
5268,"Positive, no issues",No
5269,Crack appeared,Yes
5270,Crack appeared,Yes
5271,Shim broke after 2 months,Yes
5272,"Positive, no issues",No
5273,Shim worn out quickly,Yes
5274,"Positive, no issues",No
5275,Shim broke after 2 months,Yes
5276,Shim broke after 2 months,Yes
5277,Shim worn out quickly,Yes
5278,"Positive, no issues",No
5279,Shim worn out quickly,Yes
5280,"Positive, no issues",No
5281,"Positive, no issues",No
5282,Shim worn out quickly,Yes
5283,Shim broke after 2 months,Yes
5284,Shim worn out quickly,Yes
5285,Crack appeared,Yes
5286,Shim worn out quickly,Yes
5287,"Positive, no issues",No
5288,"Positive, no issues",No
5289,Shim worn out quickly,Yes
5290,Shim worn out quickly,Yes
5291,Crack appeared,Yes
5292,Shim worn out quickly,Yes
5293,"Positive, no issues",No
5294,"Positive, no issues",No
5295,"Positive, no issues",No
5296,"Positive, no issues",No
5297,Crack appeared,Yes
5298,"Positive, no issues",No
5299,"Positive, no issues",No
5300,Shim broke after 2 months,Yes
5301,"Positive, no issues",No
5302,"Positive, no issues",No
5303,"Positive, no issues",No
5304,Crack appeared,Yes
5305,Crack appeared,Yes
5306,Shim broke after 2 months,Yes
5307,Crack appeared,Yes
5308,Shim worn out quickly,Yes
5309,Shim broke after 2 months,Yes
5310,"Positive, no issues",No
5311,Shim worn out quickly,Yes
5312,Shim broke after 2 months,Yes
5313,"Positive, no issues",No
5314,"Positive, no issues",No
5315,"Positive, no issues",No
5316,"Positive, no issues",No
5317,Shim broke after 2 months,Yes
5318,"Positive, no issues",No
5319,"Positive, no issues",No
5320,Shim broke after 2 months,Yes
5321,Crack appeared,Yes
5322,Crack appeared,Yes
5323,Shim worn out quickly,Yes
5324,Crack appeared,Yes
5325,"Positive, no issues",No
5326,"Positive, no issues",No
5327,"Positive, no issues",No
5328,"Positive, no issues",No
5329,Crack appeared,Yes
5330,Shim worn out quickly,Yes
5331,Shim worn out quickly,Yes
5332,Shim worn out quickly,Yes
5333,Crack appeared,Yes
5334,"Positive, no issues",No
5335,Shim broke after 2 months,Yes
5336,"Positive, no issues",No
5337,Shim worn out quickly,Yes
5338,"Positive, no issues",No
5339,"Positive, no issues",No
5340,"Positive, no issues",No
5341,"Positive, no issues",No
5342,Shim broke after 2 months,Yes
5343,Shim worn out quickly,Yes
5344,Shim broke after 2 months,Yes
5345,Shim broke after 2 months,Yes
5346,Crack appeared,Yes
5347,Crack appeared,Yes
5348,"Positive, no issues",No
5349,Shim broke after 2 months,Yes
5350,Crack appeared,Yes
5351,Shim broke after 2 months,Yes
5352,"Positive, no issues",No
5353,"Positive, no issues",No
5354,Crack appeared,Yes
5355,Shim broke after 2 months,Yes
5356,"Positive, no issues",No
5357,Shim worn out quickly,Yes
5358,Crack appeared,Yes
5359,Shim broke after 2 months,Yes
5360,Crack appeared,Yes
5361,"Positive, no issues",No
5362,Crack appeared,Yes
5363,"Positive, no issues",No
5364,"Positive, no issues",No
5365,Shim worn out quickly,Yes
5366,Shim worn out quickly,Yes
5367,"Positive, no issues",No
5368,"Positive, no issues",No
5369,Shim worn out quickly,Yes
5370,"Positive, no issues",No
5371,"Positive, no issues",No
5372,"Positive, no issues",No
5373,"Positive, no issues",No
5374,Crack appeared,Yes
5375,Shim broke after 2 months,Yes
5376,Shim broke after 2 months,Yes
5377,Crack appeared,Yes
5378,Shim broke after 2 months,Yes
5379,"Positive, no issues",No
5380,"Positive, no issues",No
5381,Crack appeared,Yes
5382,Crack appeared,Yes
5383,Shim worn out quickly,Yes
5384,"Positive, no issues",No
5385,Shim broke after 2 months,Yes
5386,Crack appeared,Yes
5387,Crack appeared,Yes
5388,"Positive, no issues",No
5389,"Positive, no issues",No
5390,Shim broke after 2 months,Yes
5391,Crack appeared,Yes
5392,Crack appeared,Yes
5393,"Positive, no issues",No
5394,"Positive, no issues",No
5395,"Positive, no issues",No
5396,"Positive, no issues",No
5397,Shim broke after 2 months,Yes
5398,"Positive, no issues",No
5399,Shim broke after 2 months,Yes
5400,"Positive, no issues",No
5401,Crack appeared,Yes
5402,Shim broke after 2 months,Yes
5403,Shim broke after 2 months,Yes
5404,"Positive, no issues",No
5405,Shim broke after 2 months,Yes
5406,"Positive, no issues",No
5407,"Positive, no issues",No
5408,Shim broke after 2 months,Yes
5409,"Positive, no issues",No
5410,Shim broke after 2 months,Yes
5411,"Positive, no issues",No
5412,Crack appeared,Yes
5413,"Positive, no issues",No
5414,"Positive, no issues",No
5415,Crack appeared,Yes
5416,Shim worn out quickly,Yes
5417,"Positive, no issues",No
5418,Shim broke after 2 months,Yes
5419,"Positive, no issues",No
5420,Shim broke after 2 months,Yes
5421,Shim broke after 2 months,Yes
5422,"Positive, no issues",No
5423,Crack appeared,Yes
5424,Crack appeared,Yes
5425,Crack appeared,Yes
5426,Shim broke after 2 months,Yes
5427,"Positive, no issues",No
5428,"Positive, no issues",No
5429,"Positive, no issues",No
5430,"Positive, no issues",No
5431,"Positive, no issues",No
5432,Shim worn out quickly,Yes
5433,Crack appeared,Yes
5434,"Positive, no issues",No
5435,"Positive, no issues",No
5436,Shim worn out quickly,Yes
5437,"Positive, no issues",No
5438,Shim broke after 2 months,Yes
5439,"Positive, no issues",No
5440,Crack appeared,Yes
5441,Crack appeared,Yes
5442,Shim worn out quickly,Yes
5443,"Positive, no issues",No
5444,Crack appeared,Yes
5445,Shim worn out quickly,Yes
5446,"Positive, no issues",No
5447,"Positive, no issues",No
5448,Shim broke after 2 months,Yes
5449,Shim broke after 2 months,Yes
5450,Shim worn out quickly,Yes
5451,Shim broke after 2 months,Yes
5452,Shim broke after 2 months,Yes
5453,"Positive, no issues",No
5454,Crack appeared,Yes
5455,Shim worn out quickly,Yes
5456,"Positive, no issues",No
5457,Shim worn out quickly,Yes
5458,Shim worn out quickly,Yes
5459,Crack appeared,Yes
5460,Shim broke after 2 months,Yes
5461,"Positive, no issues",No
5462,"Positive, no issues",No
