ShimID,Diameter (mm),Production Month,Screw Parameters,Handlebar Width (mm)
5202,23,2023-03,Type A / 6mm,710
5203,32,2023-11,Type C / 6mm,764
5204,32,2023-08,Type C / 4mm,715
5205,22,2023-05,Type A / 5mm,782
5206,29,2023-04,Type B / 5mm,789
5207,34,2023-07,Type A / 6mm,733
5208,37,2023-03,Type B / 5mm,669
5209,36,2023-01,Type C / 4mm,775
5210,34,2023-03,Type B / 6mm,786
5211,36,2022-12,Type C / 6mm,719
5212,37,2022-07,Type C / 4mm,640
5213,33,2023-06,Type C / 4mm,777
5214,28,2023-06,Type A / 6mm,692
5215,23,2022-03,Type B / 5mm,773
5216,35,2023-10,Type C / 5mm,769
5217,20,2022-01,Type A / 6mm,697
5218,20,2022-09,Type C / 6mm,688
5219,34,2023-04,Type B / 5mm,769
5220,27,2023-06,Type C / 4mm,780
5221,33,2023-07,Type C / 6mm,720
5222,36,2023-07,Type C / 6mm,736
5223,35,2023-04,Type C / 5mm,752
5224,36,2022-09,Type C / 5mm,724
5225,22,2023-09,Type A / 6mm,692
5226,31,2023-08,Type C / 6mm,653
5227,21,2023-03,Type A / 5mm,672
5228,36,2022-09,Type A / 5mm,751
5229,26,2023-12,Type A / 4mm,671
5230,26,2022-12,Type C / 5mm,759
5231,36,2022-07,Type C / 6mm,787
5232,30,2023-12,Type B / 6mm,645
5233,22,2023-05,Type C / 5mm,733
5234,24,2022-09,Type B / 6mm,726
5235,30,2023-04,Type A / 6mm,730
5236,30,2022-12,Type A / 5mm,733
5237,32,2022-04,Type B / 4mm,690
5238,29,2022-11,Type C / 4mm,765
5239,37,2023-05,Type C / 6mm,693
5240,25,2023-04,Type C / 4mm,653
5241,39,2023-05,Type B / 4mm,752
5242,26,2022-07,Type A / 6mm,668
5243,39,2022-02,Type C / 5mm,716
5244,37,2022-06,Type A / 5mm,680
5245,28,2022-08,Type B / 6mm,704
5246,34,2022-06,Type C / 6mm,740
5247,25,2022-05,Type C / 6mm,756
5248,23,2022-05,Type A / 6mm,649
5249,40,2022-12,Type B / 5mm,739
5250,32,2022-02,Type A / 4mm,700
5251,23,2022-10,Type C / 4mm,640
5252,25,2023-02,Type B / 6mm,722
5253,34,2022-03,Type A / 5mm,755
5254,26,2022-11,Type C / 5mm,642
5255,24,2022-11,Type A / 4mm,780
5256,26,2023-02,Type A / 5mm,770
5257,36,2022-08,Type C / 5mm,710
5258,38,2022-01,Type B / 6mm,746
5259,34,2023-06,Type A / 4mm,642
5260,35,2022-04,Type B / 6mm,781
5261,23,2022-10,Type C / 6mm,681
5262,21,2022-04,Type A / 6mm,706
5263,35,2022-01,Type A / 5mm,659
5264,39,2022-10,Type B / 6mm,716
5265,40,2023-06,Type C / 4mm,763
5266,34,2022-07,Type A / 6mm,669
5267,38,2023-07,Type A / 4mm,660
5268,21,2023-05,Type A / 4mm,768
5269,34,2023-01,Type C / 4mm,754
5270,37,2022-08,Type B / 6mm,656
5271,24,2022-04,Type A / 4mm,711
5272,30,2022-10,Type C / 6mm,779
5273,31,2022-12,Type B / 6mm,668
5274,31,2022-04,Type C / 4mm,694
5275,37,2022-05,Type B / 5mm,696
5276,38,2022-09,Type A / 6mm,761
5277,36,2022-08,Type C / 6mm,674
5278,27,2022-10,Type C / 5mm,656
5279,32,2023-01,Type C / 6mm,659
5280,33,2023-09,Type C / 5mm,654
5281,32,2023-09,Type C / 4mm,758
5282,40,2022-01,Type C / 6mm,741
5283,31,2022-10,Type B / 6mm,640
5284,36,2022-08,Type A / 5mm,672
5285,32,2022-06,Type B / 5mm,728
5286,38,2023-08,Type C / 6mm,654
5287,22,2023-07,Type C / 6mm,676
5288,24,2022-08,Type C / 4mm,658
5289,35,2023-02,Type C / 4mm,774
5290,32,2023-09,Type A / 4mm,733
5291,37,2023-12,Type B / 4mm,739
5292,29,2022-03,Type A / 6mm,680
5293,22,2023-03,Type C / 6mm,651
5294,34,2022-06,Type B / 5mm,739
5295,29,2023-06,Type A / 4mm,783
5296,36,2023-12,Type B / 4mm,700
5297,38,2022-02,Type C / 5mm,786
5298,34,2023-04,Type B / 6mm,693
5299,40,2022-07,Type B / 6mm,739
5300,29,2023-07,Type C / 5mm,737
5301,24,2023-10,Type A / 5mm,666
5302,27,2023-04,Type B / 6mm,688
5303,27,2022-04,Type C / 5mm,759
5304,20,2023-09,Type B / 6mm,718
5305,25,2022-02,Type C / 5mm,785
5306,34,2022-03,Type B / 5mm,749
5307,34,2023-05,Type A / 4mm,752
5308,38,2023-11,Type C / 4mm,756
5309,29,2023-03,Type B / 4mm,714
5310,33,2023-08,Type C / 6mm,713
5311,40,2023-06,Type A / 6mm,777
5312,26,2022-06,Type B / 6mm,650
5313,21,2022-04,Type B / 5mm,753
5314,27,2022-09,Type A / 5mm,778
5315,27,2023-05,Type B / 4mm,718
5316,23,2022-11,Type B / 5mm,778
5317,37,2023-02,Type B / 5mm,640
5318,29,2022-02,Type C / 5mm,668
5319,22,2022-02,Type A / 6mm,726
5320,22,2023-07,Type C / 6mm,666
5321,37,2022-07,Type C / 4mm,786
5322,21,2023-03,Type B / 6mm,691
5323,27,2023-05,Type B / 5mm,761
5324,30,2023-07,Type B / 5mm,719
5325,31,2022-11,Type A / 5mm,764
5326,24,2023-04,Type C / 6mm,786
5327,29,2022-08,Type A / 6mm,647
5328,30,2023-07,Type A / 5mm,705
5329,33,2023-03,Type C / 6mm,692
5330,38,2022-06,Type C / 6mm,723
5331,33,2023-03,Type B / 5mm,675
5332,21,2022-01,Type B / 5mm,648
5333,34,2023-08,Type A / 5mm,670
5334,27,2022-10,Type A / 6mm,756
5335,36,2022-09,Type A / 4mm,648
5336,40,2022-08,Type A / 4mm,758
5337,21,2023-01,Type B / 4mm,795
5338,23,2023-01,Type C / 5mm,690
5339,26,2022-02,Type A / 6mm,652
5340,23,2022-01,Type A / 6mm,704
5341,31,2023-08,Type C / 5mm,736
5342,32,2023-08,Type C / 4mm,653
5343,31,2022-01,Type B / 5mm,800
5344,20,2023-07,Type B / 5mm,791
5345,33,2022-08,Type A / 4mm,745
5346,24,2023-11,Type B / 4mm,727
5347,38,2022-04,Type A / 5mm,662
5348,24,2023-01,Type C / 5mm,733
5349,28,2023-01,Type C / 5mm,678
5350,27,2022-06,Type C / 6mm,671
5351,40,2022-06,Type B / 5mm,758
5352,33,2022-04,Type A / 6mm,733
5353,20,2022-05,Type A / 6mm,799
5354,39,2023-04,Type A / 6mm,800
5355,40,2022-01,Type C / 6mm,674
5356,23,2023-04,Type C / 5mm,664
5357,36,2023-07,Type C / 5mm,717
5358,36,2022-03,Type B / 4mm,800
5359,31,2022-12,Type C / 6mm,651
5360,20,2022-06,Type B / 4mm,786
5361,30,2023-11,Type C / 6mm,709
5362,36,2023-01,Type B / 4mm,706
5363,28,2023-12,Type C / 5mm,750
5364,28,2022-10,Type A / 6mm,681
5365,33,2023-09,Type B / 4mm,738
5366,33,2022-07,Type C / 6mm,730
5367,28,2022-07,Type A / 4mm,679
5368,30,2023-04,Type C / 6mm,732
5369,39,2022-11,Type A / 4mm,696
5370,26,2023-10,Type A / 5mm,665
5371,36,2022-07,Type B / 6mm,798
5372,20,2023-12,Type A / 4mm,746
5373,28,2023-04,Type C / 5mm,692
5374,36,2023-04,Type A / 5mm,784
5375,38,2022-04,Type B / 4mm,693
5376,36,2023-07,Type A / 4mm,788
5377,21,2023-12,Type B / 6mm,661
5378,38,2023-06,Type A / 6mm,798
5379,25,2022-10,Type A / 6mm,732
5380,35,2022-01,Type C / 6mm,652
5381,36,2022-07,Type C / 6mm,723
5382,38,2022-02,Type A / 6mm,758
5383,33,2023-04,Type A / 4mm,654
5384,34,2023-07,Type C / 5mm,764
5385,23,2022-04,Type B / 6mm,740
5386,38,2023-12,Type B / 4mm,798
5387,35,2023-11,Type C / 4mm,667
5388,28,2022-11,Type A / 4mm,672
5389,35,2023-03,Type C / 5mm,732
5390,33,2022-07,Type A / 5mm,712
5391,22,2022-11,Type B / 6mm,793
5392,38,2022-11,Type C / 5mm,766
5393,26,2022-03,Type C / 4mm,762
5394,39,2022-09,Type A / 4mm,712
5395,38,2023-11,Type B / 6mm,799
5396,28,2023-03,Type B / 6mm,664
5397,39,2023-10,Type C / 4mm,682
5398,23,2023-04,Type A / 4mm,691
5399,33,2022-11,Type B / 4mm,706
5400,23,2022-05,Type A / 5mm,645
5401,24,2023-10,Type B / 5mm,752
5402,36,2022-12,Type C / 4mm,702
5403,38,2022-02,Type C / 6mm,697
5404,27,2023-04,Type C / 5mm,764
5405,31,2023-07,Type C / 6mm,660
5406,29,2022-03,Type B / 5mm,641
5407,28,2023-09,Type A / 5mm,768
5408,30,2022-10,Type C / 6mm,757
5409,27,2023-08,Type C / 4mm,786
5410,36,2022-12,Type C / 4mm,684
5411,24,2022-04,Type C / 6mm,773
5412,31,2023-06,Type B / 5mm,707
5413,36,2022-02,Type B / 6mm,744
5414,38,2022-11,Type B / 4mm,731
5415,38,2023-08,Type A / 6mm,756
5416,39,2022-02,Type A / 6mm,710
5417,40,2022-12,Type A / 6mm,736
5418,22,2023-12,Type A / 4mm,770
5419,23,2023-08,Type C / 5mm,645
5420,23,2022-07,Type B / 5mm,664
5421,36,2022-12,Type C / 5mm,730
5422,30,2022-04,Type C / 5mm,656
5423,20,2023-05,Type A / 4mm,647
5424,28,2023-05,Type B / 5mm,777
5425,35,2023-10,Type B / 5mm,763
5426,34,2023-04,Type A / 4mm,677
5427,24,2023-11,Type C / 5mm,796
5428,26,2023-04,Type A / 4mm,712
5429,23,2023-12,Type C / 5mm,795
5430,22,2023-06,Type B / 6mm,679
5431,23,2022-02,Type A / 4mm,663
5432,23,2022-12,Type B / 6mm,711
5433,31,2023-07,Type A / 4mm,783
5434,35,2023-06,Type B / 5mm,656
5435,26,2022-12,Type C / 4mm,722
5436,39,2022-06,Type C / 5mm,750
5437,30,2022-01,Type C / 5mm,759
5438,31,2022-04,Type B / 4mm,745
5439,22,2022-05,Type C / 5mm,696
5440,21,2022-06,Type B / 4mm,724
5441,20,2022-09,Type B / 4mm,747
5442,21,2022-04,Type B / 5mm,679
5443,33,2022-11,Type B / 4mm,664
5444,38,2022-05,Type C / 6mm,737
5445,33,2022-01,Type C / 4mm,673
5446,22,2022-01,Type B / 4mm,660
5447,38,2023-06,Type B / 4mm,675
5448,20,2023-04,Type B / 4mm,797
5449,31,2022-09,Type B / 6mm,779
5450,32,2022-10,Type B / 5mm,696
5451,20,2023-10,Type B / 4mm,652
5452,30,2023-12,Type B / 4mm,740
5453,30,2023-12,Type C / 6mm,657
5454,26,2023-04,Type A / 6mm,648
5455,24,2023-05,Type B / 4mm,761
5456,20,2023-07,Type A / 6mm,775
5457,21,2022-02,Type C / 4mm,749
5458,38,2023-09,Type C / 6mm,762
5459,39,2023-11,Type B / 6mm,735
5460,30,2022-07,Type C / 5mm,742
5461,26,2022-04,Type A / 6mm,788
5462,21,2023-06,Type C / 6mm,659
5463,29,2022-05,Type B / 4mm,669
5464,23,2023-03,Type A / 4mm,677
5465,30,2023-06,Type B / 4mm,738
5466,36,2023-06,Type C / 5mm,783
5467,32,2022-02,Type A / 5mm,715
5468,22,2022-04,Type B / 6mm,784
5469,36,2022-03,Type B / 4mm,659
5470,40,2022-06,Type B / 6mm,674
5471,30,2022-11,Type A / 6mm,674
5472,31,2023-11,Type C / 4mm,696
5473,31,2023-05,Type B / 4mm,644
5474,37,2022-02,Type C / 5mm,650
5475,34,2023-05,Type A / 6mm,776
5476,31,2023-07,Type A / 4mm,761
5477,26,2023-11,Type B / 4mm,656
5478,24,2023-07,Type B / 5mm,640
5479,26,2023-01,Type B / 5mm,771
5480,32,2023-01,Type A / 4mm,701
5481,35,2022-11,Type C / 6mm,640
5482,39,2022-05,Type C / 5mm,680
5483,35,2022-05,Type A / 5mm,799
5484,29,2022-04,Type A / 4mm,697
5485,33,2022-10,Type C / 4mm,757
5486,20,2022-04,Type B / 6mm,799
5487,32,2022-04,Type B / 6mm,650
5488,24,2023-04,Type B / 5mm,685
5489,38,2022-05,Type C / 6mm,725
5490,35,2023-10,Type C / 5mm,800
5491,30,2023-11,Type A / 6mm,641
5492,28,2023-10,Type C / 6mm,756
5493,34,2023-12,Type A / 6mm,685
5494,36,2022-08,Type A / 6mm,656
5495,32,2022-12,Type C / 6mm,693
5496,40,2022-01,Type A / 4mm,722
5497,38,2023-02,Type A / 6mm,797
5498,21,2023-02,Type B / 5mm,787
5499,26,2022-04,Type C / 6mm,668
5500,22,2023-04,Type C / 5mm,746
5501,31,2022-06,Type B / 5mm,770
5502,33,2022-10,Type C / 4mm,717
5503,20,2023-08,Type B / 4mm,764
5504,27,2022-08,Type B / 6mm,709
5505,40,2022-08,Type A / 5mm,705
5506,31,2023-09,Type C / 4mm,640
5507,38,2023-02,Type B / 4mm,684
5508,30,2023-04,Type A / 5mm,691
5509,34,2023-02,Type A / 6mm,716
5510,38,2022-01,Type A / 6mm,733
5511,26,2023-01,Type C / 4mm,706
5512,34,2022-10,Type B / 4mm,717
5513,24,2022-05,Type C / 4mm,799
5514,40,2022-05,Type A / 6mm,760
5515,35,2023-09,Type A / 5mm,761
5516,21,2023-02,Type C / 4mm,740
5517,37,2022-02,Type A / 5mm,681
5518,32,2023-08,Type B / 4mm,676
5519,27,2023-07,Type C / 4mm,650
5520,27,2022-01,Type C / 4mm,667
5521,27,2022-01,Type B / 6mm,714
5522,37,2023-12,Type A / 5mm,738
5523,34,2023-01,Type A / 4mm,671
5524,22,2022-08,Type B / 4mm,708
5525,23,2023-12,Type C / 6mm,700
5526,20,2023-01,Type C / 6mm,727
5527,33,2023-06,Type C / 5mm,778
5528,22,2023-05,Type B / 6mm,681
5529,27,2022-05,Type C / 6mm,708
5530,22,2022-11,Type C / 5mm,708
5531,32,2022-01,Type A / 6mm,643
5532,38,2024-01,Type A / 5mm,682
5533,28,2022-06,Type C / 6mm,685
5534,24,2022-04,Type A / 5mm,800
5535,34,2023-04,Type A / 4mm,682
5536,34,2023-04,Type A / 5mm,686
5537,32,2022-11,Type C / 5mm,730
5538,21,2023-08,Type A / 4mm,770
5539,35,2022-03,Type C / 5mm,692
5540,26,2022-10,Type B / 5mm,791
5541,29,2022-06,Type B / 5mm,723
5542,37,2023-06,Type A / 4mm,753
5543,36,2023-11,Type C / 6mm,724
5544,39,2022-05,Type C / 5mm,797
5545,21,2022-12,Type C / 6mm,672
5546,38,2022-05,Type A / 4mm,695
5547,37,2023-09,Type B / 6mm,647
5548,30,2022-11,Type C / 5mm,702
5549,20,2022-11,Type C / 6mm,640
5550,36,2022-11,Type A / 4mm,746
5551,25,2023-01,Type B / 5mm,719
5552,26,2022-09,Type C / 6mm,697
5553,33,2023-11,Type B / 5mm,747
5554,40,2023-09,Type C / 5mm,757
5555,35,2023-11,Type C / 5mm,738
5556,38,2023-07,Type C / 6mm,728
5557,30,2022-07,Type C / 4mm,685
5558,39,2023-04,Type C / 4mm,646
5559,30,2022-07,Type A / 5mm,797
5560,33,2022-08,Type A / 6mm,691
5561,32,2023-02,Type A / 5mm,774
5562,24,2022-12,Type B / 4mm,652
5563,28,2022-12,Type C / 6mm,766
5564,20,2022-04,Type C / 4mm,663
5565,21,2023-09,Type B / 4mm,738
5566,38,2023-03,Type B / 5mm,698
5567,21,2023-01,Type B / 5mm,779
5568,27,2022-04,Type A / 5mm,734
5569,29,2023-02,Type A / 4mm,745
5570,36,2022-07,Type A / 6mm,793
5571,24,2023-03,Type B / 4mm,740
5572,26,2023-11,Type A / 4mm,746
5573,27,2022-04,Type A / 5mm,764
5574,27,2023-09,Type B / 4mm,701
5575,39,2023-11,Type B / 5mm,762
5576,39,2022-12,Type B / 5mm,799
5577,28,2023-09,Type B / 5mm,798
5578,23,2023-08,Type A / 6mm,690
5579,40,2022-06,Type B / 5mm,656
5580,22,2023-07,Type A / 4mm,643
5581,39,2023-01,Type A / 5mm,664
5582,21,2022-11,Type A / 5mm,772
5583,40,2022-10,Type A / 6mm,644
5584,22,2023-07,Type C / 6mm,662
5585,21,2023-06,Type C / 6mm,788
5586,37,2022-10,Type C / 6mm,663
5587,23,2023-02,Type B / 5mm,708
5588,20,2023-12,Type B / 5mm,710
5589,38,2023-08,Type C / 6mm,796
5590,27,2022-08,Type C / 6mm,742
5591,25,2023-10,Type A / 4mm,723
5592,40,2022-11,Type B / 6mm,709
5593,30,2022-12,Type C / 6mm,776
5594,22,2022-08,Type A / 6mm,645
5595,23,2022-05,Type C / 4mm,765
5596,24,2023-10,Type C / 5mm,670
5597,32,2023-09,Type B / 4mm,800
5598,26,2022-07,Type C / 6mm,681
5599,40,2022-07,Type A / 4mm,784
5600,26,2022-12,Type C / 4mm,652
5601,38,2023-03,Type A / 5mm,738
5602,36,2022-03,Type A / 6mm,685
5603,26,2022-06,Type C / 6mm,713
5604,31,2022-12,Type C / 5mm,676
5605,39,2022-06,Type B / 5mm,652
5606,36,2022-08,Type A / 5mm,720
5607,39,2022-02,Type B / 6mm,675
5608,31,2023-08,Type C / 5mm,695
5609,23,2022-02,Type B / 6mm,732
5610,37,2022-09,Type C / 5mm,724
5611,38,2022-12,Type C / 4mm,765
5612,35,2023-11,Type C / 5mm,765
5613,38,2022-01,Type A / 5mm,732
5614,29,2023-11,Type C / 4mm,707
5615,20,2022-11,Type C / 5mm,656
5616,38,2023-06,Type A / 5mm,785
5617,36,2023-06,Type B / 6mm,724
5618,21,2022-12,Type B / 4mm,696
5619,39,2022-07,Type C / 6mm,797
5620,36,2022-04,Type C / 5mm,663
5621,27,2023-09,Type C / 5mm,706
5622,20,2023-01,Type C / 4mm,667
5623,24,2023-11,Type C / 4mm,680
5624,29,2023-05,Type B / 6mm,764
5625,38,2023-02,Type C / 4mm,710
5626,29,2023-01,Type A / 4mm,671
5627,26,2022-06,Type A / 5mm,776
5628,35,2022-12,Type A / 6mm,676
5629,24,2022-03,Type B / 5mm,705
5630,39,2022-08,Type A / 6mm,703
5631,40,2023-06,Type B / 5mm,773
5632,26,2023-01,Type A / 5mm,788
5633,20,2022-11,Type C / 5mm,794
5634,24,2022-09,Type A / 5mm,755
5635,26,2022-09,Type A / 6mm,751
5636,28,2022-01,Type A / 4mm,716
5637,21,2022-04,Type A / 4mm,675
5638,38,2022-08,Type A / 6mm,645
5639,35,2022-01,Type A / 5mm,727
5640,21,2023-08,Type B / 6mm,773
5641,26,2022-04,Type B / 5mm,688
5642,21,2022-08,Type C / 6mm,722
5643,37,2022-06,Type B / 4mm,785
5644,27,2022-11,Type B / 4mm,687
5645,24,2023-10,Type A / 4mm,661
5646,27,2022-06,Type C / 4mm,642
5647,20,2022-08,Type C / 6mm,781
5648,35,2022-12,Type B / 6mm,675
5649,40,2022-03,Type A / 5mm,773
5650,39,2022-10,Type A / 4mm,737
5651,24,2023-10,Type B / 5mm,722
5652,32,2023-12,Type A / 6mm,647
5653,21,2022-08,Type B / 5mm,649
5654,38,2022-12,Type B / 6mm,692
5655,39,2022-05,Type C / 5mm,722
5656,23,2023-12,Type B / 4mm,652
5657,28,2022-09,Type C / 6mm,765
5658,39,2023-11,Type C / 5mm,657
5659,33,2023-07,Type B / 5mm,702
5660,30,2023-12,Type C / 4mm,687
5661,34,2022-08,Type C / 5mm,770
5662,21,2022-07,Type B / 4mm,687
5663,21,2022-05,Type B / 6mm,799
5664,20,2023-10,Type B / 6mm,734
5665,27,2022-04,Type B / 6mm,705
5666,20,2023-12,Type A / 6mm,754
5667,29,2022-08,Type B / 4mm,739
5668,35,2022-12,Type B / 4mm,689
5669,20,2023-04,Type A / 6mm,642
5670,32,2023-11,Type B / 4mm,799
5671,35,2022-12,Type A / 5mm,696
5672,32,2023-10,Type B / 6mm,660
5673,34,2023-01,Type A / 5mm,714
5674,31,2023-03,Type B / 5mm,696
5675,25,2022-09,Type A / 5mm,727
5676,32,2023-03,Type C / 6mm,657
5677,35,2023-12,Type B / 6mm,721
5678,31,2023-08,Type A / 5mm,776
5679,39,2023-05,Type A / 5mm,729
5680,36,2023-06,Type B / 4mm,702
5681,36,2023-03,Type C / 6mm,732
5682,23,2023-07,Type B / 5mm,798
5683,29,2023-04,Type A / 6mm,780
5684,21,2022-10,Type B / 5mm,680
5685,32,2023-08,Type B / 5mm,665
5686,36,2022-08,Type B / 4mm,750
5687,34,2023-02,Type A / 4mm,703
5688,30,2022-01,Type B / 6mm,703
5689,22,2022-11,Type B / 5mm,647
5690,32,2023-05,Type A / 5mm,645
5691,27,2023-05,Type A / 6mm,715
5692,29,2023-10,Type A / 6mm,791
5693,30,2022-11,Type C / 6mm,727
5694,39,2023-08,Type A / 6mm,670
5695,26,2022-05,Type C / 6mm,656
5696,37,2023-03,Type B / 6mm,747
5697,36,2022-07,Type A / 4mm,644
5698,32,2022-12,Type C / 4mm,761
5699,31,2022-12,Type B / 4mm,770
5700,20,2022-06,Type B / 6mm,765
5701,34,2022-05,Type C / 4mm,689
5702,37,2023-06,Type C / 6mm,741
5703,39,2023-12,Type B / 4mm,763
5704,31,2022-09,Type A / 4mm,768
5705,23,2023-08,Type B / 6mm,749
5706,25,2022-12,Type A / 5mm,731
5707,35,2022-09,Type B / 5mm,733
5708,26,2023-08,Type B / 4mm,681
5709,34,2023-10,Type C / 4mm,687
5710,23,2022-06,Type A / 5mm,779
5711,22,2023-04,Type A / 4mm,791
5712,23,2022-12,Type B / 5mm,649
5713,37,2022-09,Type B / 6mm,729
5714,24,2023-08,Type A / 4mm,789
5715,36,2023-09,Type C / 5mm,726
5716,36,2023-06,Type B / 5mm,738
5717,29,2022-04,Type B / 4mm,733
5718,34,2022-05,Type A / 4mm,750
5719,28,2022-10,Type B / 4mm,697
5720,34,2022-12,Type C / 5mm,656
5721,29,2022-06,Type B / 5mm,773
5722,35,2023-02,Type C / 6mm,705
5723,33,2023-01,Type A / 6mm,739
5724,20,2022-05,Type B / 5mm,716
5725,33,2023-12,Type B / 5mm,745
5726,26,2022-02,Type C / 4mm,791
5727,23,2023-04,Type B / 6mm,742
5728,40,2023-02,Type C / 6mm,684
5729,31,2022-08,Type B / 6mm,676
5730,35,2022-09,Type B / 4mm,735
5731,35,2023-10,Type A / 5mm,678
5732,35,2023-05,Type A / 6mm,751
5733,39,2022-08,Type B / 5mm,743
5734,31,2022-11,Type A / 4mm,709
5735,33,2022-04,Type B / 4mm,660
5736,37,2023-12,Type C / 4mm,768
5737,29,2023-05,Type B / 5mm,687
5738,35,2023-12,Type B / 5mm,742
5739,27,2023-06,Type A / 4mm,753
5740,22,2023-10,Type A / 5mm,799
5741,31,2023-11,Type C / 4mm,774
5742,32,2022-03,Type C / 5mm,670
5743,22,2022-08,Type A / 6mm,744
5744,24,2022-02,Type C / 4mm,711
5745,30,2023-08,Type B / 4mm,799
5746,28,2023-02,Type B / 4mm,800
5747,24,2022-01,Type B / 5mm,758
5748,39,2023-10,Type A / 4mm,660
5749,33,2022-09,Type C / 5mm,680
5750,40,2023-09,Type A / 5mm,754
5751,31,2022-06,Type A / 4mm,656
5752,23,2023-03,Type B / 4mm,652
5753,27,2023-12,Type C / 4mm,720
5754,40,2023-01,Type C / 5mm,674
5755,20,2022-05,Type B / 5mm,751
5756,20,2022-03,Type C / 4mm,754
5757,33,2022-05,Type C / 6mm,783
5758,22,2022-12,Type C / 4mm,782
5759,27,2022-12,Type A / 6mm,649
5760,36,2022-05,Type C / 4mm,791
5761,25,2023-01,Type A / 6mm,753
5762,38,2023-05,Type A / 5mm,741
5763,31,2022-11,Type B / 6mm,715
5764,20,2023-12,Type A / 4mm,748
5765,23,2022-08,Type C / 4mm,774
5766,38,2022-01,Type B / 5mm,663
5767,25,2023-05,Type B / 4mm,646
5768,26,2022-09,Type C / 4mm,765
5769,28,2023-08,Type B / 5mm,785
5770,32,2022-09,Type B / 4mm,758
5771,36,2023-11,Type B / 4mm,682
5772,32,2022-12,Type A / 4mm,662
5773,36,2022-12,Type C / 6mm,713
5774,26,2022-11,Type B / 5mm,771
5775,25,2022-01,Type B / 5mm,730
5776,34,2023-12,Type C / 4mm,677
5777,25,2022-03,Type C / 6mm,688
5778,29,2022-04,Type A / 4mm,746
5779,36,2023-06,Type B / 4mm,654
5780,35,2023-02,Type C / 6mm,672
5781,32,2023-04,Type C / 6mm,671
5782,26,2023-09,Type B / 6mm,800
5783,36,2023-07,Type C / 6mm,734
5784,35,2022-01,Type B / 6mm,692
5785,21,2023-10,Type B / 6mm,641
5786,25,2023-08,Type B / 6mm,795
5787,26,2022-04,Type B / 5mm,686
5788,32,2022-10,Type A / 4mm,739
5789,39,2023-01,Type C / 4mm,787
5790,27,2022-08,Type A / 5mm,655
5791,29,2022-08,Type B / 6mm,665
5792,26,2023-06,Type B / 6mm,663
5793,25,2023-03,Type A / 4mm,731
5794,24,2023-05,Type B / 5mm,710
5795,29,2023-04,Type C / 6mm,659
5796,26,2022-07,Type A / 6mm,657
5797,37,2023-03,Type B / 5mm,732
5798,24,2022-09,Type B / 5mm,732
5799,25,2023-02,Type C / 4mm,717
5800,29,2023-04,Type C / 5mm,720
5801,21,2023-10,Type A / 4mm,774
5802,30,2022-08,Type A / 6mm,695
5803,24,2022-01,Type A / 6mm,743
5804,37,2022-08,Type A / 5mm,664
5805,33,2023-08,Type A / 4mm,651
5806,27,2022-09,Type B / 5mm,735
5807,38,2022-04,Type A / 4mm,783
5808,21,2023-01,Type C / 4mm,798
5809,27,2023-12,Type A / 4mm,758
5810,29,2023-05,Type B / 5mm,696
5811,23,2023-09,Type C / 4mm,706
5812,23,2023-04,Type A / 5mm,693
5813,33,2023-03,Type C / 5mm,666
5814,23,2023-03,Type A / 5mm,786
5815,36,2023-10,Type A / 6mm,783
5816,26,2023-03,Type C / 5mm,724
5817,33,2022-10,Type A / 5mm,660
5818,31,2023-01,Type C / 4mm,724
5819,38,2022-12,Type B / 4mm,769
5820,34,2023-08,Type C / 4mm,772
5821,27,2023-04,Type B / 4mm,716
5822,22,2023-02,Type C / 6mm,664
5823,22,2022-09,Type A / 5mm,668
5824,33,2023-11,Type A / 5mm,789
5825,32,2023-02,Type B / 5mm,776
5826,32,2023-01,Type C / 4mm,717
5827,28,2022-06,Type B / 5mm,752
5828,27,2022-01,Type A / 6mm,756
5829,26,2022-04,Type A / 4mm,756
5830,24,2023-12,Type B / 4mm,691
5831,40,2022-01,Type B / 6mm,756
5832,34,2023-12,Type A / 4mm,763
5833,32,2023-01,Type B / 5mm,646
5834,23,2022-03,Type A / 4mm,708
5835,38,2022-03,Type C / 6mm,653
5836,26,2022-01,Type C / 4mm,764
5837,26,2022-03,Type B / 5mm,793
5838,20,2022-12,Type A / 4mm,713
5839,23,2022-09,Type C / 6mm,661
5840,32,2022-04,Type B / 4mm,740
5841,32,2023-06,Type A / 5mm,800
5842,26,2022-09,Type A / 6mm,757
5843,40,2023-10,Type A / 6mm,677
5844,36,2022-02,Type A / 6mm,707
5845,26,2022-12,Type C / 6mm,685
5846,40,2023-02,Type C / 6mm,706
5847,33,2022-04,Type C / 5mm,670
5848,39,2022-05,Type C / 4mm,781
5849,26,2022-10,Type C / 5mm,643
5850,32,2022-10,Type B / 6mm,730
5851,28,2022-08,Type C / 4mm,755
5852,22,2022-12,Type A / 6mm,726
5853,38,2022-05,Type A / 6mm,796
5854,33,2023-06,Type C / 6mm,719
5855,35,2022-07,Type B / 6mm,677
5856,26,2023-02,Type A / 6mm,665
5857,25,2022-07,Type C / 6mm,739
5858,21,2022-06,Type C / 4mm,674
5859,22,2023-03,Type A / 5mm,714
5860,29,2023-12,Type A / 6mm,670
5861,38,2022-06,Type A / 5mm,670
5862,26,2023-04,Type A / 5mm,794
5863,34,2022-06,Type C / 5mm,706
5864,32,2023-05,Type B / 4mm,783
5865,36,2023-08,Type A / 4mm,685
